name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"MamyPoko Pants All Night Absorb Baby Diapers, Large (L), 44 Count 9-14 kg",419.0,599.0,30%,https://www.amazon.in/MamyPoko-Pants-Night-Absorb-Diapers/dp/B07Y8T68PS/ref=zg_bs_g_baby_d_sccl_1/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07Y8T68PS?&linkCode=ll1&tag=902300-21&linkId=010387ce56a2c0d62a01894c&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/416AQRJc96L._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
"Pampers All Round Protection Pant Style Baby Diapers, Large (L), 64 Count, 9-14kg, Anti Rash Blanket, Lotion with Aloe Vera Diapers",845.0,1399.0,40%,https://www.amazon.in/Pampers-Large-Diapers-Pants-Count/dp/B07CXFJT8Q/ref=zg_bs_g_baby_d_sccl_2/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07CXFJT8Q?&linkCode=ll1&tag=902300-21&linkId=9ca0162d3c087021bb7f9546&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51+o-Ke3+XL._SY300_SX300_.jpg,Baby,Baby,0,
"Huggies Complete Comfort Wonder Pants | Pant Style Baby Diapers New Born / XS Size, 90 Count | India's Fastest Absorbing Diaper, Patented Dry Xpert Channel, Ideal for 0-5 Kgs",616.0,999.0,38%,https://www.amazon.in/Huggies-Wonder-Pants-Extra-Diaper/dp/B07RB2H4XV/ref=zg_bs_g_baby_d_sccl_3/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07RB2H4XV?&linkCode=ll1&tag=902300-21&linkId=0216e4beab1d885301eebda0&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51SFkUt2BsL._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
"LuvLap Pant Style Baby Diapers, Large (L), 62 Count, For babies of Upto 9-14Kg with Aloe Vera Lotion for rash protection, with upto 12hr protection, Diapers",599.0,829.0,28%,https://www.amazon.in/LuvLap-Diaper-9-14Kg-Lotion-protection/dp/B09MVWHJ9J/ref=zg_bs_g_baby_d_sccl_4/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B09MVWHJ9J?&linkCode=ll1&tag=902300-21&linkId=bdffcc7609d581644d35fc74&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41pLhrGwBDL._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
"MamyPoko Pants Extra Absorb Baby Diapers, Large (L), 128 Count, 9-14 kg",1611.0,2599.0,38%,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diapers/dp/B07Y8NK2ST/ref=zg_bs_g_baby_d_sccl_5/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07Y8NK2ST?&linkCode=ll1&tag=902300-21&linkId=ea90451c1b87c5c9ee8c7106&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41JuyHbfzYL._SY300_SX300_QL70_ML2_.jpg,Baby,Baby,0,
"Pampers Premium Care Pants, Large size baby Diapers, (L) 44 Count, 9-14kg Softest ever Pampers Pants",849.0,1499.0,43%,https://www.amazon.in/Pampers-Premium-Care-Pants-Diapers/dp/B07DDXVK39/ref=zg_bs_g_baby_d_sccl_6/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07DDXVK39?&linkCode=ll1&tag=902300-21&linkId=c74836cb2aad1d82141ae138&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41db6nZz+HL._SY300_SX300_.jpg,Baby,Baby,0,
"Little's Baby Diapers L Size (Large) Pants Style | 9-14 kg | 60 Count - Pack of 2 | CottonSoft Baby Diaper with Leakage Guard, Wetness Indicator & 12 Hours Absorption",499.0,858.0,42%,https://www.amazon.in/Littles-Diapers-Wetness-Indicator-Absorption/dp/B08J126QF9/ref=zg_bs_g_baby_d_sccl_7/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B08J126QF9?&linkCode=ll1&tag=902300-21&linkId=b894cd902f2e42e205d94d60&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51DZWuIR0WL._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
"Little's Soft Cleansing Baby Wipes with Lid | 80 Wipes x Pack of 3 - 240 Wipes | Extra Thick & Moist Wet Wipes for Baby's | Prevents Rashes & Redness with Goodness of Aloe Vera, Vitamin E & Jojoba Oil",215.0,660.0,67%,https://www.amazon.in/Littles-Soft-Cleansing-Baby-Wipes/dp/B088TZC4B6/ref=zg_bs_g_baby_d_sccl_8/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B088TZC4B6?&linkCode=ll1&tag=902300-21&linkId=a2ca6e4531c693092b68121e&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51rm7PEmw1L._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
Pampers Active Baby New Born Diapers (72 Count),1009.0,1099.0,8%,https://www.amazon.in/Pampers-Active-Baby-Diapers-Count/dp/B0781Z3BW6/ref=zg_bs_g_baby_d_sccl_9/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B0781Z3BW6?&linkCode=ll1&tag=902300-21&linkId=70b102389cdd4da3686ed270&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51eQCiDUUnL._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
"Mee Mee Caring Baby Wet Wipes with lid, 72 Pcs (Aloe Vera, Pack of 3)",199.0,358.0,44%,https://www.amazon.in/Mee-Caring-Baby-Wipes-Free/dp/B07X34F9MF/ref=zg_bs_g_baby_d_sccl_10/262-2724018-1491432?psc=1,https://www.amazon.in/dp/B07X34F9MF?&linkCode=ll1&tag=902300-21&linkId=6403bc11a12885e07b61c712&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41qpxJ95HcL._SX300_SY300_QL70_ML2_.jpg,Baby,Baby,0,
