name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Cetaphil Paraben, Sulphate-Free Gentle Skin Hydrating Face Wash Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin - 125 ml",371.0,N/A,N/A,https://www.amazon.in/Cetaphil-Sulphate-Free-Hydrating-Niacinamide-Sensitive/dp/B01CCGW4OE/ref=zg_bs_g_beauty_d_sccl_1/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B01CCGW4OE?&linkCode=ll1&tag=902300-21&linkId=7711956f075c7505c8de874a&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51O+J5jnXcL._AC_UL300_SR300,200_.jpg",Beauty,,0,
Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (100 Gms Pack Of 1) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,199.0,N/A,N/A,https://www.amazon.in/Sandalwood-100-Pack-Handmade-Whitening/dp/B09KPSZJMV/ref=zg_bs_g_beauty_d_sccl_2/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B09KPSZJMV?&linkCode=ll1&tag=902300-21&linkId=a5e1fd21870c65fb757297b7&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51F9hPAWwkL._AC_UL300_SR300,200_.jpg",Beauty,,0,
"Scalpe Pro Daily Anti-Dandruff Shampoo | Removes Dandruff From Source | Helps With Itching, Irritation & Redness Accompanying Dandruff | Climbazole & Zpto Formulation | For Women & Men | 100Ml",157.0,N/A,N/A,https://www.amazon.in/Scalpe-Pro-Anti-dandruff-Shampoo-100ml/dp/B07Q7C4Q45/ref=zg_bs_g_beauty_d_sccl_3/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B07Q7C4Q45?&linkCode=ll1&tag=902300-21&linkId=3809d0e587850e80732461c8&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51zAMTMsOkL._AC_UL300_SR300,200_.jpg",Beauty,,0,
"The Derma Co 1% Hyaluronic Sunscreen Aqua Gel SPF 50 PA++++ I For Oily, Dry, Acne-prone Skin | Ultra Lightweight Texture I Non-Greasy I No White Cast | Broad Spectrum Protection & Blue Light Protection | For Men & Women | 30 g",275.08,N/A,N/A,https://www.amazon.in/Derma-Co-Hyaluronic-Lightweight-white-cast/dp/B0C6M3KHXV/ref=zg_bs_g_beauty_d_sccl_4/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B0C6M3KHXV?&linkCode=ll1&tag=902300-21&linkId=d2a001e66342c3e1bf12c5f7&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/41v1L8K+11L._AC_UL300_SR300,200_.jpg",Beauty,,0,
"Simple Kind To Skin Refreshing Face Wash 150 ml | 100% soap-free gentle cleanser for sensitive, dry & oily skin, for women & men",339.0,385.0,12%,https://www.amazon.in/Simple-Kind-Refreshing-Facial-Globalbeauty/dp/B000LQUA6M/ref=zg_bs_g_beauty_d_sccl_5/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B000LQUA6M?&linkCode=ll1&tag=902300-21&linkId=8c7f2ba3688f2469d6f97efe&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51lV2Pem64L._AC_UL300_SR300,200_.jpg",Beauty,,0,
"WishCare Hair Growth Serum Concentrate - 3% Redensyl, 4% Anagain, 2% Baicapil, Caffeine, Biotin & Rice Water - Rosemary Hair Serum for Hair Fall Control & Hair Growth 30ml",679.0,N/A,N/A,https://www.amazon.in/WishCare-Hair-Growth-Serum-Concentrate/dp/B0B573QW21/ref=zg_bs_g_beauty_d_sccl_6/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B0B573QW21?&linkCode=ll1&tag=902300-21&linkId=f43afa39433480bc2581b4dd&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61PA2P4KDCL._AC_UL300_SR300,200_.jpg",Beauty,,0,
"L'Oréal Paris Permanent Hair Colour, Radiant At-Home Hair Colour with up to 100% Grey Coverage, Pro-Keratin, Up to 8 Weeks of Colour, Excellence Crème, 3 Natural Darkest Brown, 72ml+100g",503.0,N/A,N/A,https://www.amazon.in/LOreal-Paris-Excellence-Natural-Darkest/dp/B006QHB88O/ref=zg_bs_g_beauty_d_sccl_7/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B006QHB88O?&linkCode=ll1&tag=902300-21&linkId=5931f8b65432ca727f2833db&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61wHkCENFtL._AC_UL300_SR300,200_.jpg",Beauty,,0,
"L'Oreal Paris Hyaluron Moisture 72HR Moisture Sealing Conditioner powered by Hyaluronic Acid, for Frizz-free, Hydrated and Bouncy Hair Full of Life | 180 ml",164.0,N/A,N/A,https://www.amazon.in/Paris-Moisture-Conditioner-Hyaluronic-Dehydrated/dp/B0B6Y3FNV7/ref=zg_bs_g_beauty_d_sccl_8/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B0B6Y3FNV7?&linkCode=ll1&tag=902300-21&linkId=fdf22d4fb5b32a63a2a16b40&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/418EwrvZQLL._AC_UL300_SR300,200_.jpg",Beauty,,0,
Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,188.0,N/A,N/A,https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_beauty_d_sccl_9/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B07M9XYH9K?&linkCode=ll1&tag=902300-21&linkId=49f51748b8742e67e2742425&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61ma04zYXpL._AC_UL300_SR300,200_.jpg",Beauty,,0,
Bare Anatomy Anti Dandruff Shampoo | Reduces Up to 100% Dandruff and Strengthens Hair | Derma Approved Shampoo with Salicylic Acid & Biotin | Shampoo For All Hair types | For Women And Men | 250ml,499.0,N/A,N/A,https://www.amazon.in/Bare-Anatomy-Anti-Dandruff-Shampoo-Targets/dp/B0BJZXKH12/ref=zg_bs_g_beauty_d_sccl_10/259-4982547-8634856?psc=1,https://www.amazon.in/dp/B0BJZXKH12?&linkCode=ll1&tag=902300-21&linkId=46517b0baec0beadb0e14869&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51QuF+V4vkL._AC_UL300_SR300,200_.jpg",Beauty,,0,
