name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Educart PRAYAS CBSE Class 10 Chapterwise Most Important Qs (& PYQs) - Maths, Science, SST and English for February 2025 Boards",499.0,799.0,N/A,https://www.amazon.in/Educart-PRAYAS-Class-Chapterwise-Important/dp/9360546666/ref=zg_bs_g_books_d_sccl_1/262-2426698-9169721?psc=1,https://www.amazon.in/dp/9360546666?&linkCode=ll1&tag=902300-21&linkId=7b1601660da8f42f9fd9a5f7&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81gOZZesB9L._AC_UL300_SR300,200_.jpg",Books,Books,0,
"Too Good to Be True : A smart, funny will-they-won’t-they romance",285.0,399.0,29%,https://www.amazon.in/Too-Good-Be-True-will-they-wont-they/dp/936569339X/ref=zg_bs_g_books_d_sccl_2/262-2426698-9169721?psc=1,https://www.amazon.in/dp/936569339X?&linkCode=ll1&tag=902300-21&linkId=4d794a6fe7241f0cff0638fa&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81pGO40uexL._AC_UL300_SR300,200_.jpg",Books,Books,0,
The Psychology of Money [Paperback] Morgan Housel,316.0,399.0,21%,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_3/262-2426698-9169721?psc=1,https://www.amazon.in/dp/9390166268?&linkCode=ll1&tag=902300-21&linkId=bc60ccba5f843ab1d054684d&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81Dky+tD+pL._AC_UL300_SR300,200_.jpg",Books,Books,0,
My First Library: Boxset of 10 Board Books for Kids,399.0,749.0,47%,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_4/262-2426698-9169721?psc=1,https://www.amazon.in/dp/9387779262?&linkCode=ll1&tag=902300-21&linkId=7161eb8526d8e518e7b41492&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",Books,Books,0,
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,199.0,245.0,19%,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=zg_bs_g_books_d_sccl_5/262-2426698-9169721?psc=1,https://www.amazon.in/dp/8183286011?&linkCode=ll1&tag=902300-21&linkId=4e03dd4f98a77e2474b73ed9&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/712K3sdLlRL._AC_UL300_SR300,200_.jpg",Books,Books,0,
"Oswaal CBSE 25 Combined Sample Question papers Class 10 Books Science, Mathematics Standard, Social Science, English Language and Literature, Hindi-A (For 2025 Exam)",419.0,499.0,16%,https://www.amazon.in/Combined-Question-Mathematics-Standard-Literature/dp/9362392348/ref=zg_bs_g_books_d_sccl_6/262-2426698-9169721?psc=1,https://www.amazon.in/dp/9362392348?&linkCode=ll1&tag=902300-21&linkId=3e8194dc8d4f498444f48480&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/813SflvsqCL._AC_UL300_SR300,200_.jpg",Books,Books,0,
Atomic Habits,460.0,899.0,49%,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_7/262-2426698-9169721?psc=1,https://www.amazon.in/dp/1847941834?&linkCode=ll1&tag=902300-21&linkId=b52d6953ea6047f7c56d8c72&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81F90H7hnML._AC_UL300_SR300,200_.jpg",Books,Books,0,
White Nights,124.0,N/A,N/A,https://www.amazon.in/White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_8/262-2426698-9169721?psc=1,https://www.amazon.in/dp/0241252083?&linkCode=ll1&tag=902300-21&linkId=9daf24d89abb7e5470949abd&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51lMJWnnRDL._AC_UL300_SR300,200_.jpg",Books,Books,0,
Rupesh Thakur Prasad Panchang 2025 /Thakur Prasad Medium Colorful Hindi Panchang Calendar 2025,70.0,449.0,N/A,https://www.amazon.in/Rupesh-Thakur-Panchang-Colorful-Calendar/dp/B09CH5JX5S/ref=zg_bs_g_books_d_sccl_9/262-2426698-9169721?psc=1,https://www.amazon.in/dp/B09CH5JX5S?&linkCode=ll1&tag=902300-21&linkId=664cb84dafea51b1e6c35fd8&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/91X8TeuO+5L._AC_UL300_SR300,200_.jpg",Books,Books,0,
Amma Diarylo Konni Pageelu,220.0,699.0,N/A,https://www.amazon.in/Amma-Diarylo-Konni-Pageelu-Mantri/dp/8195780458/ref=zg_bs_g_books_d_sccl_10/262-2426698-9169721?psc=1,https://www.amazon.in/dp/8195780458?&linkCode=ll1&tag=902300-21&linkId=d4e2d7db2d2c39129fde410a&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81rjyBm+UYL._AC_UL300_SR300,200_.jpg",Books,Books,0,
