name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
Lux Cottswool Men's Cotton Thermal Set,668.0,N/A,N/A,https://www.amazon.in/Lux-Cottswool-Cotton-Thermal-COTT_Black_FS_RN_TRO_Set_90/dp/B01N1FT6QP/ref=zg_bs_g_apparel_d_sccl_1/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B01N1FT6QP?&linkCode=ll1&tag=902300-21&linkId=bca3add3386f0e87bd7b7ee5&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51d35byGmPL._AC_UL300_SR300,200_.jpg",Clothing,,0,
"SJeware 12 Pairs Solid Cotton Ankle Length Socks for Men & Women, Multicolor, Pack of 12, Free Size",199.0,N/A,N/A,https://www.amazon.in/SJEWARE-Pairs-Solid-Ankle-Multicolor/dp/B0BZVZYXV5/ref=zg_bs_g_apparel_d_sccl_2/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0BZVZYXV5?&linkCode=ll1&tag=902300-21&linkId=b237fcaf553c662b9f2da818&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81TRdxk1wnL._AC_UL300_SR300,200_.jpg",Clothing,,0,
GoSriKi Women's Rayon Blend Anarkali Printed Kurta with Palazzo & Dupatta,799.0,N/A,N/A,https://www.amazon.in/GoSriKi-Anarkali-Printed-Dupatta-Yellow-GS_M_Yellow_Medium/dp/B0DD76X72T/ref=zg_bs_g_apparel_d_sccl_3/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0DD76X72T?&linkCode=ll1&tag=902300-21&linkId=dce57fb54578622a2bb6cee5&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71mX4WATh-L._AC_UL300_SR300,200_.jpg",Clothing,,0,
Boldfit Winter Gloves for Men & Women with Touchscreen Finger Bike Winter Hand Gloves for Men Woolen Winter Gloves for Women Thermal Hand Gloves for Winter Winter Wear Unisex - Insulo Grey 1Pair,199.0,N/A,N/A,https://www.amazon.in/Boldfit-Winter-Gloves-Touchscreen-Thermal/dp/B0DN1WCX1Z/ref=zg_bs_g_apparel_d_sccl_4/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0DN1WCX1Z?&linkCode=ll1&tag=902300-21&linkId=265ea85f8d2f38b45b69ddb3&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81L0Y0-UPGL._AC_UL300_SR300,200_.jpg",Clothing,,0,
CREEK Retro Oval Sunglasses for Women & Men | Trendy Metal Sun Glasses Classic Shades | UV400 Protection,499.0,N/A,N/A,https://www.amazon.in/CREEK-Sunglasses-Glasses-Protection-GOLD-BLACK/dp/B0DF94HSWB/ref=zg_bs_g_apparel_d_sccl_5/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0DF94HSWB?&linkCode=ll1&tag=902300-21&linkId=6a97bf70dee3e9f137c488f8&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51rvx+pOC4L._AC_UL300_SR300,200_.jpg",Clothing,,0,
"Boldfit Winter Cap set, Woolen Cap, Beanie Cap, Winter Gloves, Mufflers and Neck Warmer Winter Clothes for Women and Men",349.0,N/A,N/A,https://www.amazon.in/Boldfit-Winter-Clothing-Mufflers-Clothes/dp/B0BLK1F584/ref=zg_bs_g_apparel_d_sccl_6/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0BLK1F584?&linkCode=ll1&tag=902300-21&linkId=12ddaa8dc8757f129d7bcc76&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71PgXiVK43L._AC_UL300_SR300,200_.jpg",Clothing,,0,
"Mehrang Stretchable Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree",279.0,N/A,N/A,https://www.amazon.in/Mehrang-Shapewear-Petticoat-Cotton-Blended/dp/B09HM2SRTH/ref=zg_bs_g_apparel_d_sccl_7/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B09HM2SRTH?&linkCode=ll1&tag=902300-21&linkId=79bceaa3c683172f85a650d5&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61kEVKPdeJL._AC_UL300_SR300,200_.jpg",Clothing,,0,
Jockey 2503 Women's Super Combed Cotton Rich Three Quarter Sleeve Thermal Tailored Fit Top with Stay Warm Technology,599.0,N/A,N/A,https://www.amazon.in/Jockey-Womens-Thermal-2503-0105-CHAML_Charcoal-Melange_X-Large/dp/B014SQJEEE/ref=zg_bs_g_apparel_d_sccl_8/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B014SQJEEE?&linkCode=ll1&tag=902300-21&linkId=e10310428bd677e1120af97d&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81J5gJij3PL._AC_UL300_SR300,200_.jpg",Clothing,,0,
Pivl Cozy and Stylish Sweaters for Women | Winter Wear Cardigan,389.0,N/A,N/A,https://www.amazon.in/Pivl-Design-Casual-Sweater-Cardigan/dp/B08R8FWTVV/ref=zg_bs_g_apparel_d_sccl_9/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B08R8FWTVV?&linkCode=ll1&tag=902300-21&linkId=f3d7065d2397b921fbb7ca5f&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71ZxN4i3-oL._AC_UL300_SR300,200_.jpg",Clothing,,0,
GoSriKi Women's Rayon Blend Straight Bandhej Printed Kurta with Pant & Dupatta,629.0,N/A,N/A,https://www.amazon.in/GoSriKi-Bandhani-Printed-Straight-TURAE-RED-GS_XL_Red_X-Large/dp/B0D1CQPWZ8/ref=zg_bs_g_apparel_d_sccl_10/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0D1CQPWZ8?&linkCode=ll1&tag=902300-21&linkId=00317156d92b11f863d8f154&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/610InQb9rTL._AC_UL300_SR300,200_.jpg",Clothing,,0,
GoSriKi Women's Cotton Blend Embroidered Straight Kurta with Pant & Dupatta,689.0,N/A,N/A,https://www.amazon.in/GoSriKi-Embroidered-Straight-Dupatta-Begani-NGT-GS_M_Blue_Medium/dp/B0CKLQWWB8/ref=zg_bs_g_apparel_d_sccl_11/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0CKLQWWB8?&linkCode=ll1&tag=902300-21&linkId=40e35e6f9ac82a1665284433&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61SgADmAyDL._AC_UL300_SR300,200_.jpg",Clothing,,0,
Jockey 2520 Women's Super Combed Cotton Rich Thermal Leggings with Stay Warm Technology Skinny Fit,649.0,N/A,N/A,https://www.amazon.in/Jockey-Thermal-Leggings-2520-0105-CHAML_Charcoal-Melange_X-Large/dp/B014SQJMZA/ref=zg_bs_g_apparel_d_sccl_12/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B014SQJMZA?&linkCode=ll1&tag=902300-21&linkId=a13d9aa59b3bb404017d5e9f&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81EAZMsZiaL._AC_UL300_SR300,200_.jpg",Clothing,,0,
BLACKSTEP Women's Casual Fleece Sherpa Fur Lined Hoodie Winter Warm Pullover Hooded Sweatshirt,759.0,N/A,N/A,https://www.amazon.in/BLACKSTEP-Womens-Casual-Pullover-Sweatshirt/dp/B0DFTSR2QF/ref=zg_bs_g_apparel_d_sccl_13/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0DFTSR2QF?&linkCode=ll1&tag=902300-21&linkId=3b47dffec7036d6a66157187&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/41KeNECL1aL._AC_UL300_SR300,200_.jpg",Clothing,,0,
Lymio Men Polyester Jackets || Bomber Jacket For Men || Lightweight Outwear Sportswear Bomber Standard Length Jacket (J4-6),799.0,N/A,N/A,https://www.amazon.in/Lymio-jackets-Lightweight-Outwear-Sportswear/dp/B0DBDSGTQC/ref=zg_bs_g_apparel_d_sccl_14/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0DBDSGTQC?&linkCode=ll1&tag=902300-21&linkId=5294538b1ba7a220221f6f36&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61u6E7uQ93L._AC_UL300_SR300,200_.jpg",Clothing,,0,
"ARKYLE Woolen Winter Socks for Men Thick Terry Towel Cushion Socks, Free Size, Pack of 4",219.0,N/A,N/A,https://www.amazon.in/ARKYLE-Length-Cotton-Socks-ARK-F-S1-4pk_Multicolour/dp/B07RSL1R5N/ref=zg_bs_g_apparel_d_sccl_15/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B07RSL1R5N?&linkCode=ll1&tag=902300-21&linkId=386d5975c08ac07e9b23ea74&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/91hIyGIagmL._AC_UL300_SR300,200_.jpg",Clothing,,0,
Boldfit Woolen Winter Cap for Men Woolen Cap for Women & Men in Winter for Thermal Wear Stylish Soft Winter Caps for Boys & Girls for Warm Wear Head Winter Cap Men Woolen Garam Topaa Cap Bennies Black,329.0,N/A,N/A,https://www.amazon.in/Boldfit-Beanie-Woolen-Thermal-Stylish/dp/B0CK5N2WTT/ref=zg_bs_g_apparel_d_sccl_16/262-3494618-0510338?psc=1,https://www.amazon.in/dp/B0CK5N2WTT?&linkCode=ll1&tag=902300-21&linkId=cc62fdcb8fd6ddf437b99560&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71EvhiUJs-L._AC_UL300_SR300,200_.jpg",Clothing,,0,
