name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",309.0,650.0,52%,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=zg_bs_g_computers_d_sccl_2/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B01HJI0FS2?&linkCode=ll1&tag=902300-21&linkId=097b4f58bd6572a787791c75&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/21CA6BhAt3S._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"HP v236w USB 2.0 64GB Pen Drive,",399.0,1500.0,73%,https://www.amazon.in/HP-v236w-64GB-USB-Drive/dp/B01L8ZNWN2/ref=zg_bs_g_computers_d_sccl_4/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B01L8ZNWN2?&linkCode=ll1&tag=902300-21&linkId=20d6def5886140d12226b284&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31febYa30qL._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",649.0,3396.0,81%,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=zg_bs_g_computers_d_sccl_5/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B097JJ2CK6?&linkCode=ll1&tag=902300-21&linkId=272b185fb99c91a845974ee4&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31bOxxWWIeL._SY300_SX300_.jpg,Computers,Computers,0,
"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",599.0,1499.0,60%,https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=zg_bs_g_computers_d_sccl_8/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0BG8LZNYL?&linkCode=ll1&tag=902300-21&linkId=9b3dad62d301e875c2d842b8&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31qJ7qfj-9L._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"Ambrane Unbreakable 60W Fast Charging 1.5M Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",199.0,399.0,50%,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=zg_bs_g_computers_d_sccl_10/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B082LSVT4B?&linkCode=ll1&tag=902300-21&linkId=434f35a41c6b90d8e6710389&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41owF7N6FqL._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
Canon PIXMA PG47 Black Ink Cartridge,719.0,720.0,5%,https://www.amazon.in/Canon-PG-47-Ink-Cartridge-Black/dp/B00MOESXPE/ref=zg_bs_g_computers_d_sccl_12/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B00MOESXPE?&linkCode=ll1&tag=902300-21&linkId=bdc460f99e3e0f314ae23745&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/512lYAoAhsL._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"Ambrane USB to Lightning 3A Fast Charging Braided Cable Compatible for iPhone 14,13, 12,11, X, 8, 7, 6, 5, iPad, Macbook, iMac, AirPods, 480Mbps Data Sync, 1.5Meter Long (RCL -15, Black)",179.0,399.0,55%,https://www.amazon.in/Ambrane-Lightning-Charging-Compatible-Black/dp/B0CZRQCF29/ref=zg_bs_g_computers_d_sccl_15/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0CZRQCF29?&linkCode=ll1&tag=902300-21&linkId=7c8e606278abc3c2811cce73&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31Itxfld+YL._SY300_SX300_.jpg,Computers,Computers,0,
HUMBLE® Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover (25 Pieces),104.0,999.0,90%,https://www.amazon.in/HUMBLE%C2%AE-Charger-Protector-Charging-Protective/dp/B0D1CGBVP8/ref=zg_bs_g_computers_d_sccl_16/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0D1CGBVP8?&linkCode=ll1&tag=902300-21&linkId=dd3665d5b3eaa2d5c584cbca&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/417c33cKXcL._SY300_SX300_QL70_ML2_.jpg,Computers,Computers,0,
Apple USB-C to Lightning Cable (1m) ​​​​​​​,1599.0,1900.0,16%,https://www.amazon.in/Apple-USB-C-Lightning-Cable-1m/dp/B0CX23929Q/ref=zg_bs_g_computers_d_sccl_17/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0CX23929Q?&linkCode=ll1&tag=902300-21&linkId=7b166907719b7d7b6dcb87e6&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/215M2oIHVAL._SY445_SX342_QL70_ML2_.jpg,Computers,Computers,0,
STRIFF World Map Extended Size (800 mm x 300 mm x 2 mm) Gaming Mouse Pad| Desk Mat | Stitched Edges| Non-Slip Rubber Base|Computer Laptop|Keyboard Mouse Pad for Office & Home (World Map),229.0,1299.0,82%,https://www.amazon.in/STRIFF-Extended-Stitched-Non-Slip-Computer/dp/B0CXDN7V9N/ref=zg_bs_g_computers_d_sccl_19/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0CXDN7V9N?&linkCode=ll1&tag=902300-21&linkId=8f584888a7862815c8f02c5f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41a6nB5Ma7L._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)",299.0,1920.0,84%,https://www.amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JYT4SY/ref=zg_bs_g_computers_d_sccl_23/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B098JYT4SY?&linkCode=ll1&tag=902300-21&linkId=e4996d8347767cc305981642&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/3126YFXg0nL._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive,389.0,1100.0,65%,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B00BX5FOCK/ref=zg_bs_g_computers_d_sccl_29/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B00BX5FOCK?&linkCode=ll1&tag=902300-21&linkId=bec73ee7361281d2a47f8f84&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41lLWb9BXLL._SX300_SY300_QL70_ML2_.jpg,Computers,Computers,0,
"Duracell Usb-A To Type C, 65W Braided Sync&Fast Charging Cable, 3.9 Feet(1.2M), Qc 2.0/3.0 Ultra Fast Charging, For Samsung, Mi, Realme, Oppo, One Plus, Seamless Data Transmission, Series 1,Black",241.0,499.0,52%,https://www.amazon.in/Duracell-Braided-Charging-Supports-Transmission/dp/B0BCQJDX5G/ref=zg_bs_g_computers_d_sccl_30/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0BCQJDX5G?&linkCode=ll1&tag=902300-21&linkId=44e2bf25d02a3a249f4765c3&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41OI+Fgya7L._SY300_SX300_.jpg,Computers,Computers,0,
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",399.0,1999.0,80%,https://www.amazon.in/Dyazo-Computer-Adjustable-Ergonomic-Compatible/dp/B08LHTJTBB/ref=zg_bs_g_1375248031_d_sccl_3/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B08LHTJTBB?&linkCode=ll1&tag=902300-21&linkId=4ae3a6098db5e0dda6a3b1b7&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41z+I72sJXL._SY300_SX300_.jpg,Accessories,Accessories,1,
Callas Multi-Purpose Laptop Table with | Cup Holder | Drawer | Mac Holder | Study Table/Bed Table/Breakfast Table/Foldable and Portable Wooden Table (CA-39-Black),399.0,449.0,11%,https://www.amazon.in/Callas-Multi-Purpose-Breakfast-Foldable-CA-39-Black/dp/B0DC4F6H6N/ref=zg_bs_g_1375248031_d_sccl_5/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0DC4F6H6N?&linkCode=ll1&tag=902300-21&linkId=e88d234a2ec656ffc984334d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41wgx8vLKXL._SY300_SX300_QL70_ML2_.jpg,Accessories,Accessories,1,
"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",299.0,599.0,50%,https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=zg_bs_g_1375248031_d_sccl_6/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0B296NTFV?&linkCode=ll1&tag=902300-21&linkId=e170a2293d83903f573a2e52&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/218fOqSir3L._SX300_SY300_QL70_ML2_.jpg,Accessories,Accessories,1,
"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",219.0,699.0,69%,https://www.amazon.in/Xiaomi-Supports-Compatible-Smartphone-Accessories/dp/B0C4PVS224/ref=zg_bs_g_1375248031_d_sccl_10/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0C4PVS224?&linkCode=ll1&tag=902300-21&linkId=77a42dee49b1fa2f2cd9980f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31xhdZB7lxL._SX300_SY300_QL70_ML2_.jpg,Accessories,Accessories,1,
"Amazon Brand - Solimo Fast Charging Braided Type C Data Cable Joint, Suitable For All Supported Mobile Phones (1 Meter, Black)",79.0,599.0,87%,https://www.amazon.in/Amazon-Brand-Charging-Suitable-Supported/dp/B09SB5V3LY/ref=zg_bs_g_1375248031_d_sccl_15/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B09SB5V3LY?&linkCode=ll1&tag=902300-21&linkId=162458a63b2819993a1ceb01&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/21snzT+blgL._SY300_SX300_.jpg,Accessories,Accessories,1,
"ZEBRONICS MSP-X1 Mouse Pad, for Speed and Precision Operation, Smooth Cloth Surface, Roll and Go, Optimised for All Mouse Sensors, Anti Slip Rubber Base, Surface of 232 x 182 mm",99.0,299.0,67%,https://www.amazon.in/ZEBRONICS-Precision-Operation-Surface-Optimised/dp/B0D8KQK2CY/ref=zg_bs_g_1375248031_d_sccl_19/262-3397430-6992548?psc=1,https://www.amazon.in/dp/B0D8KQK2CY?&linkCode=ll1&tag=902300-21&linkId=942296c9f0f6c90447dd2aa3&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41WJ0Apwa8L._SX300_SY300_QL70_ML2_.jpg,Accessories,Accessories,1,
