name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",10499.00,N/A,N/A,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=zg_bs_g_electronics_d_sccl_1/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B0CZS3B3PY?&linkCode=ll1&tag=902300-21&linkId=ed1928119f696e05b5beb30b&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71w-mmKgIfL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"POCO M6 5G (Polaris Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G Processor | 5000 mAh Battery + 18W Fast Charging | 50 MP AI Dual-Camera System & Side Fingerprint Sensor",8999.00,N/A,N/A,https://www.amazon.in/POCO-Dimensity-Processor-Dual-Camera-Fingerprint/dp/B0DR2X5DP4/ref=zg_bs_g_electronics_d_sccl_2/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B0DR2X5DP4?&linkCode=ll1&tag=902300-21&linkId=e39ebf7a857e21d47985c636&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/712QmUwFUjL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",999.00,999.00,75%,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=zg_bs_g_electronics_d_sccl_3/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B08TV2P1N8?&linkCode=ll1&tag=902300-21&linkId=9c84a9d28668d16f541b84d9&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61+SW9nDTEL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",7498.00,N/A,N/A,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=zg_bs_g_electronics_d_sccl_4/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B0D945V84N?&linkCode=ll1&tag=902300-21&linkId=9918e95a433064ece01b9de7&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71r0Ysx+oVL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",1549.00,N/A,N/A,https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B09794YHBS/ref=zg_bs_g_electronics_d_sccl_5/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B09794YHBS?&linkCode=ll1&tag=902300-21&linkId=c42fee75d5e4a41354e26e1a&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/21rFLTV3tML._AC_UL300_SR300,200_.jpg",Electronics,,0,
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",9499.00,N/A,N/A,https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=zg_bs_g_electronics_d_sccl_6/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B0DLW44CGS?&linkCode=ll1&tag=902300-21&linkId=85e1afae0a475021591b4867&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81XmCGfKlWL._AC_UL300_SR300,200_.jpg",Electronics,,0,
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),348.00,N/A,N/A,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=zg_bs_g_electronics_d_sccl_7/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B071Z8M4KX?&linkCode=ll1&tag=902300-21&linkId=6ab6949385320425e57031f9&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/513ugd16C6L._AC_UL300_SR300,200_.jpg",Electronics,,0,
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",9499.00,N/A,N/A,https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW4QD72/ref=zg_bs_g_electronics_d_sccl_8/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B0DLW4QD72?&linkCode=ll1&tag=902300-21&linkId=0efb537a2f6b72c14e15f563&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71qblDCyONL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",11499.00,N/A,N/A,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=zg_bs_g_electronics_d_sccl_9/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B07WHSNYL5?&linkCode=ll1&tag=902300-21&linkId=e89fa76a89aaea7a350b8933&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61WZicN+coL._AC_UL300_SR300,200_.jpg",Electronics,,0,
"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",1799.00,N/A,N/A,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=zg_bs_g_electronics_d_sccl_10/258-0558191-3275117?psc=1,https://www.amazon.in/dp/B09TVVGXWS?&linkCode=ll1&tag=902300-21&linkId=9d29180f9a18f9ba419dd44d&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51UhwaQXCpL._AC_UL300_SR300,200_.jpg",Electronics,,0,
