name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Surf Excel Matic Top Load Liquid Detergent 4L Refill Pouch, Specially designed to remove Tough Dried Stains, 1st time in Washing Machine",534.0,775.0,31%,https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0CKW4VGLK/ref=zg_bs_g_hpc_d_sccl_1/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B0CKW4VGLK?&linkCode=ll1&tag=902300-21&linkId=14af054b482760cdb1b14c8d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41buRR0GYDL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
Amazon Brand - Presto! 2 Ply Kitchen Tissue Rolls | 360 Pulls | 60 Kitchen Towels X 6 Rolls | Soft And Highly Absorbent | 100% Natural Virgin Cellulose Fiber,329.0,420.0,22%,https://www.amazon.in/Amazon-Brand-Presto-Kitchen-Tissue/dp/B07GVVCQY6/ref=zg_bs_g_hpc_d_sccl_2/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B07GVVCQY6?&linkCode=ll1&tag=902300-21&linkId=134750679c9f5df1c717a7ec&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/510e8O+ut5L._SX300_SY300_.jpg,Health & Personal Care,Health & Personal Care,0,
"Comfort After Wash Morning Fresh Fabric Conditioner Pouch, 2 ltr, Liquid",319.0,435.0,27%,https://www.amazon.in/Comfort-After-Morning-Fabric-Conditioner/dp/B07F8H9NYY/ref=zg_bs_g_hpc_d_sccl_3/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B07F8H9NYY?&linkCode=ll1&tag=902300-21&linkId=ed70ea40f4ce9085fdc31dba&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51zDHa19D0L._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
"Surf Excel Matic Front Load Liquid Detergent 4L Refill Pouch, Designed for Tough Stain Removal on Laundry in Washing Machines - Mega Saver Pack",561.0,885.0,37%,https://www.amazon.in/Surf-Excel-Detergent-Designed-Machines/dp/B0CKW6NVND/ref=zg_bs_g_hpc_d_sccl_4/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B0CKW6NVND?&linkCode=ll1&tag=902300-21&linkId=5c897b47a8941bdbfd4d659c&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41knabEPXyL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
"Wellcore - Pure Micronised Creatine Monohydrate (Fruit Fusion, 33 Servings) | Rapid Absorption | Enhanced Muscle strength & Power, Powder",569.0,749.0,24%,https://www.amazon.in/Wellcore-Micronised-Creatine-Monohydrate-Absorption/dp/B0D9BPK1NV/ref=zg_bs_g_hpc_d_sccl_5/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B0D9BPK1NV?&linkCode=ll1&tag=902300-21&linkId=b5e4d3f2870bb5af3cff7938&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41bdrvx7f0L._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
"Healthgenie Weight Machine for Body Weight Thick Tempered Glass LCD Display With 3 Years Warranty Weighing Scale (Sporty Red), 180 Kg",399.0,1199.0,67%,https://www.amazon.in/Healthgenie-Tempered-Warranty-Sporty-Red/dp/B0B1QXJG9Z/ref=zg_bs_g_hpc_d_sccl_6/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B0B1QXJG9Z?&linkCode=ll1&tag=902300-21&linkId=eb839c58be3a1ae5a64be530&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41TYWoL2R1L._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
Genteel Matic Liquid Detergent Refill Pouch for Top load Washing - 2kg | No Soda Formula | with Added Fabric Conditioner,191.0,290.0,34%,https://www.amazon.in/Godrej-Genteel-Liquid-Detergent-Refill/dp/B07ZZD6XL1/ref=zg_bs_g_hpc_d_sccl_7/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B07ZZD6XL1?&linkCode=ll1&tag=902300-21&linkId=59924169d763375506ed9300&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/419MSDhdGGL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,162.0,209.0,22%,https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_hpc_d_sccl_8/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B07M9XYH9K?&linkCode=ll1&tag=902300-21&linkId=f4d1719fc659234332d233d6&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/416KgKhAfFL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
"Dettol Antiseptic Liquid for First Aid , Surface Disinfection and Personal Hygiene , 1 Litre",344.0,364.55,6%,https://www.amazon.in/Dettol-Antiseptic-Liquid-1-L/dp/B07B11V59H/ref=zg_bs_g_hpc_d_sccl_9/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B07B11V59H?&linkCode=ll1&tag=902300-21&linkId=4d145f062ddf6e95617af6a7&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41onI4B2ugL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
Vim Fresh Lemon Fragrance Dishwash Liquid Gel 2L Refill Pack|| Leaves No Residue|| Grease Cleaner For Utensils - Liquid Kitchen Soap Super Saver Offer,247.0,405.0,39%,https://www.amazon.in/VIM-Dishwash-Liquid-Lemon-Refill/dp/B08CNMBJZ7/ref=zg_bs_g_hpc_d_sccl_10/258-3084181-9166827?psc=1,https://www.amazon.in/dp/B08CNMBJZ7?&linkCode=ll1&tag=902300-21&linkId=dcaefe40845fbe7bfb164221&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/510lHmxXNFL._SX300_SY300_QL70_ML2_.jpg,Health & Personal Care,Health & Personal Care,0,
