name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Elina Dark Multi Color Elastic Hair Ponytail Holder Soft Non Slip Tight Stretchable Rubber Bands for School Girls/Women, Hair tie (Pack of 30)(Dark English Multicolor)",199.0,599.0,67%,https://www.amazon.in/Elina-Elastic-Ponytail-Stretchable-Multicolor/dp/B0CT54F8DN/ref=zg_bs_g_jewelry_d_sccl_1/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0CT54F8DN?&linkCode=ll1&tag=902300-21&linkId=f174a81204f082d40ca858a4&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/6139MwetDiL._SX300_SY300_QL70_ML2_.jpg,Jewellery,Jewellery,0,
"Sanas Hair Extension Clips For Women 4 Pcs Dupatta Clips For Brides (10 Teeth) Dupatta Tic Tac Pin - Safety Pins For Women Saree Pallu & Dupatta Pin For Head - Bridal Dupatta Setting Clip, Safety & Hijab Hair Pins - Chunni Clips - Wig Clip 4 Pcs, Hair Accessories For Women Wedding (Black)",199.0,299.0,33%,https://www.amazon.in/Sanas-Extension-Clips-Dupatta-Brides/dp/B0DPHYLK6F/ref=zg_bs_g_jewelry_d_sccl_16/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0DPHYLK6F?&linkCode=ll1&tag=902300-21&linkId=0e7676e841711b1c57497332&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41wIfqPGMSL._SX300_SY300_QL70_ML2_.jpg,Jewellery,Jewellery,0,
"SILVR BEAR Luxury Satin Scrunchies SAME 6 COLORS AS PIC, Anti-Hair-Breakage, Hair Ties, Scrunchies Set for Girls, Women, Best gift for Sister, Friend, Mom (Classic Skinny)",299.0,600.0,50%,https://www.amazon.in/Silvr-Bear-Luxury-Skinny-Scrunchies/dp/B09MKM5XJ5/ref=zg_bs_g_jewelry_d_sccl_29/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09MKM5XJ5?&linkCode=ll1&tag=902300-21&linkId=d6370bd27199fb97a433d7af&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51g+Lp-cF3L._SY300_SX300_.jpg,Jewellery,Jewellery,0,
"Wazdorf Girls Hair Pins with Clear Bag, Baby Hair Clips Cute Cute Fruit Cartoon Animal Hair Pin for Kids Hair Clip for Women Girls Hair Accessories (PINK)",244.0,999.0,76%,https://www.amazon.in/Wazdorf-Girls-Cartoon-Animal-Accessories/dp/B0C5JP8M5P/ref=zg_bs_g_7124361031_d_sccl_4/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0C5JP8M5P?&linkCode=ll1&tag=902300-21&linkId=edc0b289072586d86bcd7b31&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41Jy4OJxOML._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
YouBella Hair Jewellery Clip Set for Baby Band for Girls (Pack of 18) (Pink),284.0,999.0,72%,https://www.amazon.in/YouBella-Hair-Jewellery-Clip-Girls/dp/B08T64VPNC/ref=zg_bs_g_7124361031_d_sccl_10/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B08T64VPNC?&linkCode=ll1&tag=902300-21&linkId=15374dbffb416417da2e01ad&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41yBf021cKL._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
"Crystal Heaven Certified Amethyst Crystal Tower Obelisk Point for Chakra, Healing and Balancing - AAA Grade Original Gemstone Agate for Reiki Meditation Yoga Spiritual (2-3 Inches)",449.0,2500.0,82%,https://www.amazon.in/Amethyst-Crystal-Obelisk-Healing-Balancing/dp/B09Z86L7YW/ref=zg_bs_g_7124361031_d_sccl_19/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09Z86L7YW?&linkCode=ll1&tag=902300-21&linkId=0e46a88a03036758cb2f97cf&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41igaz437fL._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
TEMPERIA (1 Pack - 14 Clips) Hair Clips for Girls Kids - Girls Gift Items for Birthday - Cute Hair Clips & Pins Set for Baby & Small Girls - Girl Hair Accessories (Random Colors & Designs) (MN02),157.0,599.0,74%,https://www.amazon.in/TEMPERIA-Pack-Birthday-Accessories-Designs/dp/B0DHXHSQV1/ref=zg_bs_g_7124361031_d_sccl_22/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0DHXHSQV1?&linkCode=ll1&tag=902300-21&linkId=6f8b37d67f18c004a87187dd&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51-axMSxRsL._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
NEOBABY Elastic Hair Rubber Bands Ties Accessories for Kids Baby Girls & Women's with Fancy Cartoon Characters Designs (Assorted 6 Pairs),179.0,1599.0,89%,https://www.amazon.in/NEOBABY-Elastic-Accessories-Characters-Assorted/dp/B0CTCDHCLL/ref=zg_bs_g_7124361031_d_sccl_26/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0CTCDHCLL?&linkCode=ll1&tag=902300-21&linkId=6c57c6a16de71b81044c17df&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51gMSbuOzXL._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
kapimo Fancy Hair Clips For Baby Girls Toddlers Assorted Stylish Fashion Hair Accessories 18 Pcs Gift Set Box (Dark Pink),339.0,1200.0,72%,https://www.amazon.in/Toddlers-Assorted-Stylish-Fashion-Accessories/dp/B09J2VKJ43/ref=zg_bs_g_7124361031_d_sccl_28/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B09J2VKJ43?&linkCode=ll1&tag=902300-21&linkId=7a08615c1424ac80f213bb3d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51dTZAYxhoL._SX300_SY300_QL70_ML2_.jpg,Girls,Girls,1,
"Seeotwo 2 Pieces Resin Hairband Shark Tooth Style Non-Slip Black Wave Sports Yoga Headband Unisex Fashion Adjustable Wavy Hair Hoop Band for Women, Men, Boys, and Girls",249.0,800.0,69%,https://www.amazon.in/Seeotwo-Hairband-Non-Slip-Headband-Adjustable/dp/B0D7K4XBY1/ref=zg_bs_g_7124358031_d_sccl_19/260-2581820-5151969?psc=1,https://www.amazon.in/dp/B0D7K4XBY1?&linkCode=ll1&tag=902300-21&linkId=8c7065b481dfd59547cddbc1&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/413ryiiXUDL._SY300_SX300_QL70_ML2_.jpg,Women,Women,1,
