name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Amazon Brand - Presto! Garbage Bags Medium 180 Count|19 x 21 inches Black , For Dry & Wet waste|30 bags/roll (Pack of 6)",325.00,1.81,32%,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=zg_bs_g_kitchen_d_sccl_1/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B0821PN8L4?&linkCode=ll1&tag=902300-21&linkId=9d639134804b14134b8c8a19&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71IB+2LNNBL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"ATOM Digital Kitchen Food Weighing Scale For Healthy Living, Home Baking, Cooking, Fitness & Balanced Diet. | 1 Year Warranty | 10Kg x 1gms with 2 Batteries Included, SF400/A121, Color May vary",199.00,599,67%,https://www.amazon.in/Weighing-Balanced-Batteries-Included-A121/dp/B083C6XMKQ/ref=zg_bs_g_kitchen_d_sccl_2/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B083C6XMKQ?&linkCode=ll1&tag=902300-21&linkId=ebf768a869291ff644631a45&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51Jp1JZdU-L._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",549.00,1245,56%,https://www.amazon.in/Pigeon-Electric-Stainless-Shut-off-Feature/dp/B07WMS7TWB/ref=zg_bs_g_kitchen_d_sccl_3/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B07WMS7TWB?&linkCode=ll1&tag=902300-21&linkId=c77f57c334bf1683d747934c&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51DGcy8eBCL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,169.00,N/A,N/A,https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q/ref=zg_bs_g_kitchen_d_sccl_4/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B06VX8YR6Q?&linkCode=ll1&tag=902300-21&linkId=e91b41c37a97562f3c8e8862&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71erHCKJ3WL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",274.00,1299,79%,https://www.amazon.in/Zulaxy-Drilling-Adhesive-Transparent-Stainless/dp/B0CCM8L54V/ref=zg_bs_g_kitchen_d_sccl_5/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B0CCM8L54V?&linkCode=ll1&tag=902300-21&linkId=4c3d7896f625f39b20ccb06b&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61uaI9IfRUL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
Orpat OEH-1220 2000-Watt Fan Heater (White),1249.00,1295,4%,https://www.amazon.in/Orpat-OEH-1220-2000-Watt-Heater-White/dp/B00B7GHQQW/ref=zg_bs_g_kitchen_d_sccl_6/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B00B7GHQQW?&linkCode=ll1&tag=902300-21&linkId=aedf25cb8a8b0209b4b6e912&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/81Pm1MEvURL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"Milton Aura 1000 Thermosteel Bottle, 1050 ml Water Bottles, 24 Hours Hot and Cold, Easy to Carry, Easy Grip, Rust Proof, Tea, Coffee, Office, Travel Bottle, Black",932.00,1165,20%,https://www.amazon.in/Milton-Thermosteel-Bottle-Kitchen-Trekking/dp/B0B4RX7ZXK/ref=zg_bs_g_kitchen_d_sccl_7/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B0B4RX7ZXK?&linkCode=ll1&tag=902300-21&linkId=ba924523065af5b28d87d21f&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51-NKrTs99L._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"Amazon Brand - Presto! Garbage Bags Large 90 Count|24 x 32 Inches Black , For Dry & Wet waste|15 bags/roll (Pack of 6)",333.00,3.70,31%,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=zg_bs_g_kitchen_d_sccl_8/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B0821PYKVK?&linkCode=ll1&tag=902300-21&linkId=7b2c9dafe0a5297ad04a967f&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71TZMvymzgL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
"Misamo Enterprise PVC Wall Hooks, Pack of 15, Transparent",189.00,12.60,53%,https://www.amazon.in/Misamo-Enterprise-Bathroom-Hangings-Transparent/dp/B09SLQPK3T/ref=zg_bs_g_kitchen_d_sccl_9/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B09SLQPK3T?&linkCode=ll1&tag=902300-21&linkId=a756ea3651a75d4c5ad914a5&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61ihAmUosAL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
Shalimar Premium Garbage Bags (Lavender Fragrance) Size 19 X 21 Inches (Medium) 120 Bags (4 Rolls) Dustbin Bag/Trash Bag - Black Color,299.00,2.49,13%,https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Rolls/dp/B07KT9Q54M/ref=zg_bs_g_kitchen_d_sccl_10/257-0642060-4924520?psc=1,https://www.amazon.in/dp/B07KT9Q54M?&linkCode=ll1&tag=902300-21&linkId=8a7870d60d60262f5dfc784c&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71+lN88GinL._AC_UL300_SR300,200_.jpg",Kitchen,,0,
