name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
Salaam Namaste,125.0,599.0,79%,https://www.amazon.in/Salaam-Namaste-Saif-Ali-Khan/dp/B008MJZFDS/ref=zg_bs_g_dvd_d_sccl_1/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B008MJZFDS?&linkCode=ll1&tag=902300-21&linkId=5b9c626ad682ffb8e4bc871c&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51ooc7px4lL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Matru Ki Bijlee Ka Mandola,149.0,999.0,N/A,https://www.amazon.in/Matru-Ki-Bijlee-Ka-Mandola/dp/B00BKZSLKA/ref=zg_bs_g_dvd_d_sccl_2/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00BKZSLKA?&linkCode=ll1&tag=902300-21&linkId=4a34944745b2bda24478a858&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41kdEdOimUL._QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Queen,799.0,9999.0,N/A,https://www.amazon.in/Queen-Kangana-Ranaut/dp/B00JE9WE6Q/ref=zg_bs_g_dvd_d_sccl_3/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00JE9WE6Q?&linkCode=ll1&tag=902300-21&linkId=c809b0c8d574136aad7d7ff8&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51LqAzL4iVL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Just Cause 4 - PlayStation 4,1489.0,2499.0,40%,https://www.amazon.in/Just-Cause-4-PlayStation/dp/B07DJX3XWZ/ref=zg_bs_g_dvd_d_sccl_4/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B07DJX3XWZ?&linkCode=ll1&tag=902300-21&linkId=e15b2e0f721de384a50c94e5&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51nS2OT6wFL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Hum Tum,200.0,599.0,67%,https://www.amazon.in/Hum-Tum-Saif-Ali-Khan/dp/B00G2UJ8J6/ref=zg_bs_g_dvd_d_sccl_5/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00G2UJ8J6?&linkCode=ll1&tag=902300-21&linkId=81e3a33e4630f66949432353&language=en_IN&ref_=as_li_ss_tl,https://images-na.ssl-images-amazon.com/images/I/51PcNULLyRL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Love Aaj Kal,699.0,6999.0,N/A,https://www.amazon.in/Love-Aaj-Kal-Saif-Khan/dp/B003I7AAF2/ref=zg_bs_g_dvd_d_sccl_6/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B003I7AAF2?&linkCode=ll1&tag=902300-21&linkId=1ce33dc24ea0dc44e032246f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/61yLS9LJyPL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Peepli [Live],667.9,799.0,16%,https://www.amazon.in/Peepli-Live-Omkar-Das-Manikpuri/dp/B004FLTNJY/ref=zg_bs_g_dvd_d_sccl_7/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B004FLTNJY?&linkCode=ll1&tag=902300-21&linkId=2c03116b2b061f832cac010e&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/61mIO-AKDLL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Norma Rae,490.0,999.0,51%,https://www.amazon.in/Norma-Rae-Sally-Field/dp/B00SWPZSM0/ref=zg_bs_g_dvd_d_sccl_8/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B00SWPZSM0?&linkCode=ll1&tag=902300-21&linkId=37d3f43eded82e156ce9120f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51Vb0KkaIkL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
ROCKSTAR GAMES Red Dead Redemption 2 for Xbox One,2544.0,3999.0,36%,https://www.amazon.in/Red-Dead-Redemption-Xbox-One/dp/B01M275W1G/ref=zg_bs_g_dvd_d_sccl_9/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B01M275W1G?&linkCode=ll1&tag=902300-21&linkId=98101fa348cd1f26fa4e6b85&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51wK5IaUCYS._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
Ek Tha Tiger - Special Edition,99.0,299.0,67%,https://www.amazon.in/Ek-Tha-Tiger-Salman-Khan/dp/B009GY4HAA/ref=zg_bs_g_dvd_d_sccl_10/262-9460838-3095214?psc=1,https://www.amazon.in/dp/B009GY4HAA?&linkCode=ll1&tag=902300-21&linkId=33ed07dec0d7d673e3da5a38&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51HokavkyoL._SX300_SY300_QL70_ML2_.jpg,Movies & TV Shows,Movies & TV Shows,0,
