name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Purepet Adult Dry Cat Food Tuna & Salmon Flavour, 1 kg Pack",191.0,199.0,4%,https://www.amazon.in/Purepet-Tuna-Salmon-Adult-Cat/dp/B0BX3TZTFP/ref=zg_bs_g_pet-supplies_d_sccl_6/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B0BX3TZTFP?&linkCode=ll1&tag=902300-21&linkId=6d170f3fa879bc62e55449a6&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41JxCmoItRL._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Whiskas Junior Mother Cat & Kitten (2-12 Months) Dry Cat Food, Ocean Fish Flavour, 1.1 kg, Contains 41 Essential Nutrients, Complete & Balanced Nutrition for Mother Cats & Kittens",403.0,425.0,5%,https://www.amazon.in/Contains-Essential-Nutrients-Complete-Nutrition/dp/B00LHULLKA/ref=zg_bs_g_pet-supplies_d_sccl_14/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B00LHULLKA?&linkCode=ll1&tag=902300-21&linkId=b24ee026baa66adb869288a1&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41oSkr+AQuL._SX300_SY300_.jpg,Pet Supplies,Pet Supplies,0,
"Drools Absolute Dog Supplement Treat Calcium Bone Jar - 40 Pieces (600G Pack), For All Life Stages",414.0,450.0,8%,https://www.amazon.in/Drools-Absolute-Calcium-Bone-Supplement/dp/B07JQJFCS2/ref=zg_bs_g_pet-supplies_d_sccl_18/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B07JQJFCS2?&linkCode=ll1&tag=902300-21&linkId=9c446812ce36c684a4555376&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41EAv2BbnZS._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Meat Up Munchy Sticks, Chicken Flavour, Dog Treats 400 gm (Buy 1 Get 1 Free ), Total 800gram, All Life Stages",261.0,269.0,3%,https://www.amazon.in/Meat-Up-Munchy-Chicken-Flavour/dp/B07YD19Q12/ref=zg_bs_g_pet-supplies_d_sccl_21/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B07YD19Q12?&linkCode=ll1&tag=902300-21&linkId=0bdb861a516c59c99bf4f915&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51NyZUqvogL._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Agirav No Pull Dog Harness - Step In Dog Harness And Leash For Small Medium Large Dog - Escape Proof Adjustable Soft Leash Collar Set For Walking Training Hiking Outdoor, 15 Cm, 15 Cm",139.0,999.0,86%,https://www.amazon.in/Agirav-Pull-Dog-Harness-Adjustable/dp/B0CY9LRRDX/ref=zg_bs_g_pet-supplies_d_sccl_22/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B0CY9LRRDX?&linkCode=ll1&tag=902300-21&linkId=e9f1d19d5bd023156d11b74e&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41jDmRinn4L._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Meat Up Kitten (1-12 months) Dry Cat Food, Ocean Fish, 1.2kg (Buy 1 Get 1 Free),Total 2.4 Kg Pack",437.0,450.0,3%,https://www.amazon.in/Meat-Up-Kitten-Food-Free/dp/B07PWG6PMJ/ref=zg_bs_g_pet-supplies_d_sccl_23/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B07PWG6PMJ?&linkCode=ll1&tag=902300-21&linkId=616775ca1d13729549d71e5d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51wwV0hxs8L._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Chappi Adult (1+ Years) Dry Dog Food, Chicken & Rice, 20 kg, Complete and Balanced Food for Adult Dogs,",2945.0,3100.0,5%,https://www.amazon.in/Chappi-Adult-Food-Chicken-Rice/dp/B00TIOQRPG/ref=zg_bs_g_pet-supplies_d_sccl_27/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B00TIOQRPG?&linkCode=ll1&tag=902300-21&linkId=72241da28b61182943da8a9f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41nsjv6zSNL._SY300_SX300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Purepet Adult Dry Cat Food Sea Food Flavour, 1 kg Pack",191.0,199.0,4%,https://www.amazon.in/Purepet-Sea-Food-Adult-Cat/dp/B0BYS8NH1F/ref=zg_bs_g_pet-supplies_d_sccl_29/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B0BYS8NH1F?&linkCode=ll1&tag=902300-21&linkId=88a3b714acb843c400a2008b&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41TobplzY7L._SX300_SY300_QL70_ML2_.jpg,Pet Supplies,Pet Supplies,0,
"Boltz Bird Food for Budgies - 1.2 kg | Natural & Healthy Premium Mix Seeds, | Daily Bird Budgies Food Seeds| All Life Stages",399.0,550.0,27%,https://www.amazon.in/Boltz-Bird-Food-Budgies-Seeds/dp/B07MBH6B4F/ref=zg_bs_g_4771340031_d_sccl_1/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B07MBH6B4F?&linkCode=ll1&tag=902300-21&linkId=b04abf480390e4b8b378146f&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51EQmnWjQxL._SX300_SY300_QL70_ML2_.jpg,Birds,Birds,1,
"PETSLIFE Hand Feeding Formula for Baby Birds, 250g",270.0,275.0,2%,https://www.amazon.in/Petslife-HANDFEEDING-250G-Hand-Feeding-Formula/dp/B08RCPWNP2/ref=zg_bs_g_4771340031_d_sccl_6/261-7750683-5181451?psc=1,https://www.amazon.in/dp/B08RCPWNP2?&linkCode=ll1&tag=902300-21&linkId=90b41ddff4c83b5d5380f1df&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41l4Gv6aZPL._SX300_SY300_QL70_ML2_.jpg,Birds,Birds,1,
