name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
"Wirescorts Angle Geometric Plastic Blocks, Sorting & Stacking Toys for Toddlers and Kids Preschool, Color Stacker Shape Sorter Gift Educational Learning Toy for 1 2 3 Years Boys and Girls, Multicolor",179.0,N/A,N/A,https://www.amazon.in/WireScorts-Geometric-Preschool-Educational-Multicolor/dp/B0CFGB45S2/ref=zg_bs_g_toys_d_sccl_1/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0CFGB45S2?&linkCode=ll1&tag=902300-21&linkId=b1ab2fe4a898042e3f7cebb8&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/51mHC9zqABL._AC_UL300_SR300,200_.jpg",Toys,,0,
"Lifelong LLKS03 Foldable Kick Skating Cycle| Skate Scooter for Kids(Max User Weight: 50Kg) Kids Scooter (Pink, Blue)",999.0,N/A,N/A,https://www.amazon.in/Lifelong-Adjustable-Weight-50-Manufacturers-LLKS03/dp/B0C862R9VF/ref=zg_bs_g_toys_d_sccl_2/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0C862R9VF?&linkCode=ll1&tag=902300-21&linkId=90ca5fef03074856cee0275e&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61xr-fzqcxL._AC_UL300_SR300,200_.jpg",Toys,,0,
"Smartivity Kids Montessori Slide Puzzle I Color & Pattern Matching Learning Toys for Kids 4-8 Years I Birthday Gift for Boys&Girls I Preschool Educational Activity Toy for 4,5,6,7,8I Travel Friendly",449.0,N/A,N/A,https://www.amazon.in/Smartivity-Montessori-Matching-Preschool-Educational/dp/B0DG5YMYMD/ref=zg_bs_g_toys_d_sccl_3/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0DG5YMYMD?&linkCode=ll1&tag=902300-21&linkId=9a5e4402b31bcb8fb21709ac&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71WLAGLJucL._AC_UL300_SR300,200_.jpg",Toys,,0,
"LuvLap Sunny Ride on & Car for Kids with Music & Horn Steering, Push Car for Baby with Backrest, Safety Guard, Under Seat Storage & Big Wheels, Ride on for Kids 1 to 3 Years Upto 25 Kgs (Pink)",1199.0,N/A,N/A,https://www.amazon.in/LuvLap-Steering-Backrest-Safety-Storage/dp/B0BCGFJ2H7/ref=zg_bs_g_toys_d_sccl_4/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0BCGFJ2H7?&linkCode=ll1&tag=902300-21&linkId=eebb8f66c17ecbe448c57aac&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71VPXp3DuAL._AC_UL300_SR300,200_.jpg",Toys,,0,
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (35cm, Avocado)",321.0,N/A,N/A,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Huggable/dp/B0BLCLG8XJ/ref=zg_bs_g_toys_d_sccl_5/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0BLCLG8XJ?&linkCode=ll1&tag=902300-21&linkId=188ad9e74d6d3bddbe0e8e48&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/41DX4usBUXL._AC_UL300_SR300,200_.jpg",Toys,,0,
Storio Rechargeable Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You Say Funny Education Toys for Children Playing Home Decor for Kids,329.0,N/A,N/A,https://www.amazon.in/Storio-Unbreakable-Friction-Automobile-Toys/dp/B08D8J88X3/ref=zg_bs_g_toys_d_sccl_6/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B08D8J88X3?&linkCode=ll1&tag=902300-21&linkId=5a21f4a364f72752d63f3453&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61YVpEBCUhL._AC_UL300_SR300,200_.jpg",Toys,,0,
Little's Junior Ring | Stacking Toys for Kids | 6 rings Multi-Colour Kids Toys | Colorful Toddler Activity Toys | Baby toys | Motor and Reasoning skills,155.0,N/A,N/A,https://www.amazon.in/Littles-Stacking-Multi-Colour-Colorful-Reasoning/dp/B00ADZUNYK/ref=zg_bs_g_toys_d_sccl_7/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B00ADZUNYK?&linkCode=ll1&tag=902300-21&linkId=5299d5040476f8b518ce7eb6&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61XC4-QDkKL._AC_UL300_SR300,200_.jpg",Toys,,0,
Storio Toys Rechargeable Educational Learning Talking Flash Cards for 2 Year Old Kids Boys Girls Baby Montessori Toys,325.0,N/A,N/A,https://www.amazon.in/Storio-Dual-Function-Water-Shoot/dp/B08D8HVTBN/ref=zg_bs_g_toys_d_sccl_8/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B08D8HVTBN?&linkCode=ll1&tag=902300-21&linkId=e0c2b0fed83ad9ffa73f09a9&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/61SIh+VJF7L._AC_UL300_SR300,200_.jpg",Toys,,0,
"Einstein Box Ultimate Science Kit for Boys and Girls Ages 8-12-14| Birthday Gifts Ideas for Kids| STEM Learning Toys for 8,9,10,11,12,13,14 Year Olds|",699.0,N/A,N/A,https://www.amazon.in/Einstein-Box-Educational-Learning-Experiments/dp/B0855MGS99/ref=zg_bs_g_toys_d_sccl_9/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0855MGS99?&linkCode=ll1&tag=902300-21&linkId=063ef9c35110b28b132b9dc2&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/71flpMokoIL._AC_UL300_SR300,200_.jpg",Toys,,0,
"Popsugar Off Roader Rechargeable Remote Control Car | Monster Truck with 2 Speeds | 4 Headlight Modes | Lithium Battery | C-Type Charging | Remote Control Car for Kids | Made in India, Black Mat",1249.0,N/A,N/A,https://www.amazon.in/Popsugar-Rechargeable-Control-Headlight-Charging/dp/B0CQJRQWHN/ref=zg_bs_g_toys_d_sccl_10/258-7324086-5967926?psc=1,https://www.amazon.in/dp/B0CQJRQWHN?&linkCode=ll1&tag=902300-21&linkId=d7ec087c27806bc983962ce6&language=en_IN&ref_=as_li_ss_tl,"https://images-eu.ssl-images-amazon.com/images/I/717pTcRrigL._AC_UL300_SR300,200_.jpg",Toys,,0,
